ds,ds_checkin,ds_checkout,n_nights,n_guests_min,n_guests_max,origin_country,room_type_clean,nights_bucket,search_year,search_month,checkin_dow,checkin_month,lead_time_days,has_price_filter
2014-10-01,,,,1,1,GB,No Filter,nan,2014,10,,,,False
2014-10-01,2015-01-03,2015-02-01,29.0,2,2,GB,Entire home/apt,15+ nights,2014,10,5.0,1.0,94.0,False
2014-10-01,,,,1,1,GB,No Filter,nan,2014,10,,,,True
2014-10-01,2015-02-13,2015-02-17,4.0,1,2,GB,Entire home/apt,3-5 nights,2014,10,4.0,2.0,135.0,True
2014-10-01,2014-11-03,2014-11-07,4.0,1,3,FI,Entire home/apt,3-5 nights,2014,10,0.0,11.0,33.0,True
2014-10-01,2015-09-01,2015-09-03,2.0,3,3,US,No Filter,1-2 nights,2014,10,1.0,9.0,335.0,True
2014-10-01,,,,1,1,FR,No Filter,nan,2014,10,,,,False
2014-10-01,2014-10-22,2014-10-28,6.0,1,3,FR,Entire home/apt,6-14 nights,2014,10,2.0,10.0,21.0,False
2014-10-01,,,,1,3,IT,No Filter,nan,2014,10,,,,True
2014-10-01,2014-10-04,2014-10-06,2.0,1,3,IT,No Filter,1-2 nights,2014,10,5.0,10.0,3.0,True
2014-10-01,2014-11-25,2014-12-30,35.0,1,1,ES,Private room,15+ nights,2014,10,1.0,11.0,55.0,False
2014-10-01,,,,1,1,NL,No Filter,nan,2014,10,,,,True
2014-10-01,2014-12-12,2014-12-13,1.0,4,4,IE,Entire home/apt,1-2 nights,2014,10,4.0,12.0,72.0,False
2014-10-01,2014-12-26,2014-12-30,4.0,2,2,AT,Entire home/apt,3-5 nights,2014,10,4.0,12.0,86.0,True
2014-10-01,2015-02-01,2015-03-31,58.0,1,1,IT,No Filter,15+ nights,2014,10,6.0,2.0,123.0,False
2014-10-01,2014-11-05,2014-11-06,1.0,4,4,BR,No Filter,1-2 nights,2014,10,2.0,11.0,35.0,True
2014-10-01,2015-02-14,2015-02-18,4.0,2,4,BR,Entire home/apt,3-5 nights,2014,10,5.0,2.0,136.0,True
2014-10-01,2014-10-29,2014-11-02,4.0,2,2,CL,No Filter,3-5 nights,2014,10,2.0,10.0,28.0,True
2014-10-01,2014-10-30,2014-11-02,3.0,2,2,CL,No Filter,3-5 nights,2014,10,3.0,10.0,29.0,True
2014-10-01,,,,1,1,RU,No Filter,nan,2014,10,,,,True
2014-10-01,,,,1,1,GB,No Filter,nan,2014,10,,,,False
2014-10-01,2015-07-17,2015-07-20,3.0,1,16,GB,Entire home/apt,3-5 nights,2014,10,4.0,7.0,289.0,False
2014-10-01,,,,1,1,IE,No Filter,nan,2014,10,,,,False
2014-10-01,2014-11-18,2014-11-25,7.0,2,2,FR,No Filter,6-14 nights,2014,10,1.0,11.0,48.0,True
2014-10-01,2014-11-19,2014-11-24,5.0,2,2,FR,No Filter,3-5 nights,2014,10,2.0,11.0,49.0,True
2014-10-01,2014-11-21,2014-11-22,1.0,1,2,FR,No Filter,1-2 nights,2014,10,4.0,11.0,51.0,True
2014-10-01,2014-11-22,2014-11-24,2.0,2,2,FR,No Filter,1-2 nights,2014,10,5.0,11.0,52.0,True
2014-10-01,2014-11-23,2014-11-24,1.0,2,2,FR,No Filter,1-2 nights,2014,10,6.0,11.0,53.0,True
2014-10-01,2014-11-23,2014-11-25,2.0,2,2,FR,No Filter,1-2 nights,2014,10,6.0,11.0,53.0,True
2014-10-01,2014-10-30,2014-11-02,3.0,3,3,DE,No Filter,3-5 nights,2014,10,3.0,10.0,29.0,True
2014-10-01,2014-10-30,2014-11-03,4.0,1,3,DE,Entire home/apt,3-5 nights,2014,10,3.0,10.0,29.0,True
2014-10-01,2014-10-09,2014-10-10,1.0,1,2,US,No Filter,1-2 nights,2014,10,3.0,10.0,8.0,True
2014-10-01,2014-10-09,2014-10-12,3.0,2,2,US,No Filter,3-5 nights,2014,10,3.0,10.0,8.0,True
2014-10-01,2014-11-20,2014-11-24,4.0,2,2,AR,Entire home/apt,3-5 nights,2014,10,3.0,11.0,50.0,True
2014-10-01,2014-10-30,2014-11-01,2.0,2,2,ES,No Filter,1-2 nights,2014,10,3.0,10.0,29.0,True
2014-10-01,2015-03-21,2015-03-24,3.0,1,6,FR,Entire home/apt,3-5 nights,2014,10,5.0,3.0,171.0,True
2014-10-01,,,,1,1,AU,No Filter,nan,2014,10,,,,False
2014-10-01,2014-10-11,2014-11-10,30.0,1,1,AT,No Filter,15+ nights,2014,10,5.0,10.0,10.0,False
2014-10-01,2014-10-18,2014-11-10,23.0,1,1,AT,No Filter,15+ nights,2014,10,5.0,10.0,17.0,False
2014-10-01,2014-10-18,2014-11-11,24.0,1,1,AT,No Filter,15+ nights,2014,10,5.0,10.0,17.0,False
2014-10-01,2014-10-10,2014-10-13,3.0,4,4,FR,Entire home/apt,3-5 nights,2014,10,4.0,10.0,9.0,True
